Param,Migr2,Age,Sex,SD,Mean
meanp,NA,1,1,0,0
meanp,NA,2,1,0,0
meanp,NA,3,1,0.2,0.8
meanprmigr,NA,1,2,0,0
meanprmigr,NA,1,1,0,0
meanprmigr,NA,2,2,0,0
meanprmigr,NA,2,1,0,0
meanprmigr,NA,3,2,0.2,0.8
meanprmigr,NA,3,1,0.2,0.5
meanr,NA,1,1,0,0
meanr,NA,2,1,0,0
meanr,NA,3,1,0.2,0.3
means,NA,1,1,0.2,0.3
means,NA,2,1,0.2,0.7
means,NA,3,1,0.2,0.9
means,NA,1,2,0.2,0.3
means,NA,2,2,0.2,0.71
means,NA,3,2,0.2,0.8
meansw,NA,1,1,0.2,0.15
meansw,NA,2,1,0.2,0.15
meansw,NA,3,1,0.2,0.15
meansw,NA,1,2,0.2,0.15
meansw,NA,2,2,0.2,0.15
meansw,NA,3,2,0.2,0.15
